region,year,construction,agriculture_output,retail_trade,wholesale_trade,foreign_trade_turnover
Jizzax,2022,3556000.0,16221000.0,8723600.0,4762000.0,61420000.0
Jizzax,2023,4472000.0,18167500.0,10453700.0,6076000.0,74010000.0
Jizzax,2024,5500000.0,20347600.0,12513200.0,7634000.0,88230000.0
Qashqadaryo,2010,892400.0,4812100.0,1887600.0,892100.0,19870000.0
Qashqadaryo,2011,1163000.0,6278800.0,2459600.0,1162400.0,25920000.0
Qashqadaryo,2012,1430000.0,7727000.0,3183200.0,1482100.0,32100000.0
Qashqadaryo,2013,1855000.0,9511200.0,4032400.0,1872300.0,40700000.0
Qashqadaryo,2014,2444000.0,11694200.0,5012200.0,2298400.0,49860000.0
Qashqadaryo,2015,3182000.0,13604100.0,6210700.0,2821000.0,56430000.0
Qashqadaryo,2016,3952000.0,15511200.0,7594700.0,3412000.0,64390000.0
Qashqadaryo,2017,5011000.0,17882700.0,9315200.0,4289000.0,76710000.0
Qashqadaryo,2018,6341000.0,20575100.0,11313200.0,5412000.0,94120000.0
Qashqadaryo,2019,7356000.0,23661900.0,13031300.0,6289000.0,106300000.0
Qashqadaryo,2020,7052000.0,25672400.0,12763400.0,6712000.0,97980000.0
Qashqadaryo,2021,8908000.0,28712700.0,15694800.0,8234000.0,124100000.0
Qashqadaryo,2022,10682000.0,32363400.0,18804700.0,10312000.0,149000000.0
Qashqadaryo,2023,13430000.0,36216900.0,22534900.0,13289000.0,179600000.0
Qashqadaryo,2024,16518000.0,40562500.0,27010600.0,16712000.0,213900000.0
Navoiy,2010,1248000.0,1623400.0,876400.0,412300.0,28760000.0
Navoiy,2011,1625000.0,2117400.0,1142100.0,537200.0,37490000.0
Navoiy,2012,1998000.0,2604200.0,1478100.0,685100.0,46120000.0
Navoiy,2013,2593000.0,3205200.0,1873000.0,866900.0,58460000.0
Navoiy,2014,3416000.0,3942300.0,2325600.0,1065700.0,71300000.0
Navoiy,2015,4448000.0,4585300.0,2881200.0,1309000.0,80630000.0
Navoiy,2016,5526000.0,5230000.0,3521200.0,1587000.0,92000000.0
Navoiy,2017,7002000.0,6029800.0,4319800.0,1993000.0,109700000.0
Navoiy,2018,8857000.0,6934200.0,5245200.0,2513000.0,134800000.0
Navoiy,2019,10278000.0,7974300.0,6043900.0,2916000.0,152300000.0
Navoiy,2020,9851000.0,8652400.0,5921600.0,3112000.0,140400000.0
Navoiy,2021,12451000.0,9680400.0,7283700.0,3812000.0,177800000.0
Navoiy,2022,14934000.0,10910900.0,8723600.0,4762000.0,213400000.0
Navoiy,2023,18775000.0,12219900.0,10453700.0,6076000.0,257200000.0
Navoiy,2024,23100000.0,13686000.0,12513200.0,7634000.0,306400000.0
Namangan,2010,512400.0,4121200.0,1877600.0,892100.0,14230000.0
Namangan,2011,668100.0,5378000.0,2447600.0,1162400.0,18560000.0
Namangan,2012,820900.0,6620800.0,3169800.0,1482100.0,22870000.0
Namangan,2013,1065000.0,8148900.0,4016600.0,1872300.0,28980000.0
Namangan,2014,1403000.0,10027600.0,4990300.0,2298400.0,35360000.0
Namangan,2015,1826000.0,11662500.0,6183700.0,2821000.0,39980000.0
Namangan,2016,2268000.0,13299700.0,7558500.0,3412000.0,45620000.0
Namangan,2017,2873000.0,15327900.0,9271200.0,4289000.0,54380000.0
Namangan,2018,3634000.0,17627100.0,11258500.0,5412000.0,66840000.0
Namangan,2019,4212000.0,20271300.0,12967900.0,6289000.0,75510000.0
Namangan,2020,4034000.0,21994400.0,12700200.0,6712000.0,69630000.0
Namangan,2021,5093000.0,24585400.0,15625800.0,8234000.0,88200000.0
Namangan,2022,6112000.0,27719800.0,18727200.0,10312000.0,105900000.0
Namangan,2023,7689000.0,31026900.0,22443700.0,13289000.0,127700000.0
Namangan,2024,9456000.0,34718800.0,26882200.0,16712000.0,152200000.0
Samarqand,2010,892400.0,6234100.0,2187300.0,1123400.0,21870000.0
Samarqand,2011,1163000.0,8131000.0,2853900.0,1464200.0,28530000.0
Samarqand,2012,1430000.0,10011800.0,3694600.0,1866200.0,35170000.0
Samarqand,2013,1855000.0,12323600.0,4686300.0,2362100.0,44590000.0
Samarqand,2014,2444000.0,15163100.0,5813700.0,2903400.0,54390000.0
Samarqand,2015,3182000.0,17633800.0,7200000.0,3568000.0,61530000.0
Samarqand,2016,3952000.0,20114700.0,8800000.0,4324000.0,70220000.0
Samarqand,2017,5011000.0,23182200.0,10800000.0,5431000.0,83720000.0
Samarqand,2018,6341000.0,26659900.0,13100000.0,6851000.0,102900000.0
Samarqand,2019,7356000.0,30659300.0,15100000.0,7951000.0,116300000.0
Samarqand,2020,7052000.0,33265300.0,14800000.0,8482000.0,107200000.0
Samarqand,2021,8908000.0,37207100.0,18200000.0,10396000.0,135800000.0
Samarqand,2022,10682000.0,41963800.0,21800000.0,12986000.0,163000000.0
Samarqand,2023,13430000.0,46971500.0,26100000.0,16578000.0,196600000.0
Samarqand,2024,16518000.0,52566200.0,31200000.0,20838000.0,234400000.0
Sirdaryo,2010,248000.0,1423400.0,654300.0,298100.0,7124000.0
Sirdaryo,2011,323000.0,1856100.0,852800.0,388500.0,9289000.0
Sirdaryo,2012,397000.0,2284800.0,1104200.0,495400.0,11430000.0
Sirdaryo,2013,515000.0,2812000.0,1399700.0,626800.0,14490000.0
Sirdaryo,2014,679000.0,3460000.0,1738700.0,770900.0,17670000.0
Sirdaryo,2015,884000.0,4024600.0,2154900.0,947000.0,19990000.0
Sirdaryo,2016,1098000.0,4591500.0,2634300.0,1148000.0,22810000.0
Sirdaryo,2017,1391000.0,5291200.0,3231300.0,1443000.0,27190000.0
Sirdaryo,2018,1760000.0,6085000.0,3925000.0,1821000.0,33400000.0
Sirdaryo,2019,2042000.0,6997700.0,4521200.0,2113000.0,37750000.0
Sirdaryo,2020,1957000.0,7592300.0,4427800.0,2254000.0,34810000.0
Sirdaryo,2021,2474000.0,8491200.0,5448200.0,2763000.0,44130000.0
Sirdaryo,2022,2967000.0,9573700.0,6529500.0,3452000.0,53010000.0
Sirdaryo,2023,3731000.0,10718300.0,7823500.0,4406000.0,63910000.0
Sirdaryo,2024,4591000.0,12004500.0,9373600.0,5536000.0,76180000.0
Surxondaryo,2010,412400.0,3821200.0,1021200.0,412300.0,10230000.0
Surxondaryo,2011,537700.0,4984400.0,1331600.0,537200.0,13340000.0
Surxondaryo,2012,661200.0,6135800.0,1724400.0,685100.0,16430000.0
Surxondaryo,2013,858300.0,7553600.0,2185600.0,866900.0,20830000.0
Surxondaryo,2014,1131000.0,9295600.0,2717000.0,1065700.0,25410000.0
Surxondaryo,2015,1472000.0,10812100.0,3367100.0,1309000.0,28740000.0
Surxondaryo,2016,1829000.0,12335000.0,4117900.0,1587000.0,32790000.0
Surxondaryo,2017,2319000.0,14218200.0,5052800.0,1993000.0,39080000.0
Surxondaryo,2018,2934000.0,16351000.0,6139000.0,2513000.0,48040000.0
Surxondaryo,2019,3404000.0,18803600.0,7071400.0,2916000.0,54340000.0
Surxondaryo,2020,3262000.0,20395000.0,6922900.0,3112000.0,50100000.0
Surxondaryo,2021,4123000.0,22802700.0,8521000.0,3812000.0,63530000.0
Surxondaryo,2022,4946000.0,25714600.0,10214600.0,4762000.0,76350000.0
Surxondaryo,2023,6218000.0,28801100.0,12241900.0,6076000.0,92080000.0
Surxondaryo,2024,7650000.0,32256700.0,14667300.0,7634000.0,109800000.0
Toshkent vil.,2010,1124000.0,5412100.0,2387600.0,1223400.0,24870000.0
Toshkent vil.,2011,1464200.0,7062200.0,3113900.0,1594600.0,32430000.0
Toshkent vil.,2012,1801500.0,8695700.0,4032400.0,2034000.0,39940000.0
Toshkent vil.,2013,2339900.0,10706100.0,5112200.0,2574100.0,50650000.0
Toshkent vil.,2014,3083900.0,13177000.0,6354700.0,3165400.0,61760000.0
Toshkent vil.,2015,4016100.0,15324700.0,7876400.0,3891000.0,69840000.0
Toshkent vil.,2016,4993500.0,17481100.0,9629600.0,4716000.0,79730000.0
Toshkent vil.,2017,6330800.0,20154300.0,11815000.0,5928000.0,95010000.0
Toshkent vil.,2018,8009900.0,23177300.0,14351600.0,7479000.0,116800000.0
Toshkent vil.,2019,9295400.0,26654000.0,16530200.0,8680000.0,132000000.0
Toshkent vil.,2020,8911700.0,28935200.0,16191200.0,9262000.0,121700000.0
Toshkent vil.,2021,11265000.0,32346000.0,19930400.0,11353000.0,154300000.0
Toshkent vil.,2022,13513000.0,36489600.0,23892800.0,14185000.0,185300000.0
Toshkent vil.,2023,16994000.0,40868300.0,28635800.0,18107000.0,223500000.0
Toshkent vil.,2024,20906000.0,45771300.0,34313700.0,22752000.0,266500000.0
Toshkent sh.,2010,8245800.0,0.0,21872800.0,11774100.0,268303300.0
Toshkent sh.,2011,9504800.0,0.0,28539000.0,15476700.0,318662700.0
Toshkent sh.,2012,11753900.0,0.0,36946400.0,18018800.0,319269500.0
Toshkent sh.,2013,15219300.0,0.0,46863000.0,22001677.0,341671200.0
Toshkent sh.,2014,20060400.0,0.0,58136600.0,25512624.0,332733500.0
Toshkent sh.,2015,26100000.0,0.0,72000000.0,31200000.0,368000000.0
Toshkent sh.,2016,32400000.0,0.0,88000000.0,38100000.0,412000000.0
Toshkent sh.,2017,41200000.0,0.0,108000000.0,47800000.0,489000000.0
Toshkent sh.,2018,52100000.0,0.0,131000000.0,61200000.0,612000000.0
Toshkent sh.,2019,61800000.0,0.0,151000000.0,74600000.0,698000000.0
Toshkent sh.,2020,19215400.0,0.0,46111600.0,69991602.6,149386300.0
Toshkent sh.,2021,26535400.0,0.0,52954500.0,107851250.5,200426200.0
Toshkent sh.,2022,32946300.0,0.0,66784000.0,142354083.9,236997700.0
Toshkent sh.,2023,54310900.0,0.0,85449900.0,210467312.4,304405900.0
Toshkent sh.,2024,69012300.0,0.0,108188000.0,245754010.1,320624300.0
Farg'ona,2010,824500.0,5412100.0,2187300.0,1123400.0,18760000.0
Farg'ona,2011,1074000.0,7062200.0,2853900.0,1464200.0,24470000.0
Farg'ona,2012,1321500.0,8695700.0,3694600.0,1866200.0,30140000.0
Farg'ona,2013,1716600.0,10706100.0,4686300.0,2362100.0,38210000.0
Farg'ona,2014,2262900.0,13177000.0,5813700.0,2903400.0,46600000.0
Farg'ona,2015,2947000.0,15324700.0,7200000.0,3568000.0,52720000.0
Farg'ona,2016,3663000.0,17481100.0,8800000.0,4324000.0,60160000.0
Farg'ona,2017,4642000.0,20154300.0,10800000.0,5431000.0,71760000.0
Farg'ona,2018,5874000.0,23177300.0,13100000.0,6851000.0,88210000.0
Farg'ona,2019,6815000.0,26654000.0,15100000.0,7951000.0,99780000.0
Farg'ona,2020,6533000.0,28935200.0,14800000.0,8482000.0,92010000.0
Farg'ona,2021,8256000.0,32346000.0,18200000.0,10396000.0,116700000.0
Farg'ona,2022,9904000.0,36489600.0,21800000.0,12986000.0,140200000.0
Farg'ona,2023,12458000.0,40868300.0,26100000.0,16578000.0,169200000.0
Farg'ona,2024,15329000.0,45771300.0,31200000.0,20838000.0,201800000.0
Xorazm,2010,312400.0,2812100.0,876400.0,412300.0,8970000.0
Xorazm,2011,407200.0,3668500.0,1142100.0,537200.0,11700000.0
Xorazm,2012,500800.0,4514400.0,1478100.0,685100.0,14410000.0
Xorazm,2013,650500.0,5557600.0,1873000.0,866900.0,18270000.0
Xorazm,2014,857200.0,6838400.0,2325600.0,1065700.0,22280000.0
Xorazm,2015,1116000.0,7952600.0,2881200.0,1309000.0,25200000.0
Xorazm,2016,1387000.0,9070000.0,3521200.0,1587000.0,28760000.0
Xorazm,2017,1758000.0,10453100.0,4319800.0,1993000.0,34290000.0
Xorazm,2018,2224000.0,12021100.0,5245200.0,2513000.0,42180000.0
Xorazm,2019,2580000.0,13824300.0,6043900.0,2916000.0,47700000.0
Xorazm,2020,2473000.0,15009300.0,5921600.0,3112000.0,44000000.0
Xorazm,2021,3126000.0,16785600.0,7283700.0,3812000.0,55810000.0
Xorazm,2022,3749000.0,18928000.0,8723600.0,4762000.0,67070000.0
Xorazm,2023,4715000.0,21199400.0,10453700.0,6076000.0,80920000.0
Xorazm,2024,5800000.0,23743300.0,12513200.0,7634000.0,96530000.0
Qoraqalpog'iston,2010,312400.0,2421200.0,798400.0,312300.0,9870000.0
Qoraqalpog'iston,2011,407200.0,3160700.0,1041000.0,407200.0,12880000.0
Qoraqalpog'iston,2012,500800.0,3890700.0,1348300.0,519100.0,15870000.0
Qoraqalpog'iston,2013,650500.0,4790400.0,1708800.0,657000.0,20120000.0
Qoraqalpog'iston,2014,857200.0,5896900.0,2124300.0,808000.0,24530000.0
Qoraqalpog'iston,2015,1116000.0,6859300.0,2633500.0,993000.0,27760000.0
Qoraqalpog'iston,2016,1387000.0,7824000.0,3219900.0,1203000.0,31680000.0
Qoraqalpog'iston,2017,1758000.0,9018200.0,3950000.0,1512000.0,37790000.0
Qoraqalpog'iston,2018,2224000.0,10371500.0,4800000.0,1908000.0,46490000.0
Qoraqalpog'iston,2019,2580000.0,11927200.0,5527400.0,2215000.0,52590000.0
Qoraqalpog'iston,2020,2473000.0,12942800.0,5415300.0,2364000.0,48540000.0
Qoraqalpog'iston,2021,3126000.0,14474600.0,6664200.0,2898000.0,61590000.0
Qoraqalpog'iston,2022,3749000.0,16322400.0,7990300.0,3620000.0,74050000.0
Qoraqalpog'iston,2023,4715000.0,18281200.0,9575000.0,4622000.0,89380000.0
Qoraqalpog'iston,2024,5800000.0,20474900.0,11468800.0,5810000.0,106700000.0
