region,year,population_permanent,employed_thousand,unemployed_thousand,econ_active_thousand,births_total,fact_deaths,active_enterprises_count
Qashqadaryo,2013,2914.5,1065.3,53.7,1119.0,73052,15867,17318
Qashqadaryo,2014,2957.8,1091.8,57.7,1149.5,77236,16476,18408
Qashqadaryo,2015,3004.0,1118.0,58.0,1176.0,79900,16720,19676
Qashqadaryo,2016,3051.0,1145.0,59.8,1204.8,82700,16940,21132
Qashqadaryo,2017,3100.0,1173.0,61.4,1234.4,85800,17165,22749
Qashqadaryo,2018,3175.0,1201.0,62.8,1263.8,88400,17280,24487
Qashqadaryo,2019,3276.0,1230.0,64.1,1294.1,91000,17510,26313
Qashqadaryo,2020,3362.0,1216.0,68.2,1284.2,92500,20440,27412
Qashqadaryo,2021,3397.0,1244.0,65.3,1309.3,94900,17710,29923
Qashqadaryo,2022,3483.0,1273.0,63.5,1336.5,97200,16620,32426
Qashqadaryo,2023,3567.0,1301.0,61.8,1362.8,99100,16050,35201
Qashqadaryo,2024,3653.0,1330.0,59.3,1389.3,101200,15300,38158
Navoiy,2010,812.4,289.2,16.2,305.4,18410,4041,7092
Navoiy,2011,844.2,295.8,15.4,311.2,18030,4125,7608
Navoiy,2012,857.4,303.8,15.3,319.1,18111,4198,8174
Navoiy,2013,870.5,311.3,15.7,327.0,19652,4167,8218
Navoiy,2014,883.8,319.8,17.7,337.5,20636,4376,8808
Navoiy,2015,898.0,328.0,18.0,346.0,21400,4420,9476
Navoiy,2016,913.0,337.0,18.8,355.8,22100,4440,10232
Navoiy,2017,929.0,346.0,19.4,365.4,23000,4465,11049
Navoiy,2018,952.0,355.0,19.8,374.8,23700,4480,11907
Navoiy,2019,983.0,365.0,20.1,385.1,24300,4510,12813
Navoiy,2020,1009.0,360.0,21.2,381.2,24700,5440,13212
Navoiy,2021,1019.0,369.0,20.3,389.3,25400,4710,14423
Navoiy,2022,1045.0,378.0,19.5,397.5,26100,4420,15626
Navoiy,2023,1070.0,387.0,18.8,405.8,26600,4250,16901
Navoiy,2024,1096.0,397.0,17.7,414.7,27200,4000,18358
Namangan,2010,2121.4,789.2,44.2,833.4,58410,12841,11092
Namangan,2011,2204.2,807.8,41.9,849.7,57230,13225,11808
Namangan,2012,2238.4,828.8,41.3,870.1,57411,13498,12674
Namangan,2013,2273.5,849.3,42.7,892.0,62452,13267,12718
Namangan,2014,2308.8,869.8,46.7,916.5,66136,13776,13608
Namangan,2015,2347.0,890.0,47.0,937.0,68400,13920,14576
Namangan,2016,2386.0,911.0,47.8,958.8,70800,14040,15632
Namangan,2017,2427.0,933.0,48.4,981.4,73500,14165,16849
Namangan,2018,2487.0,955.0,48.8,1003.8,75700,14180,18087
Namangan,2019,2566.0,978.0,49.1,1027.1,77800,14310,19413
Namangan,2020,2634.0,967.0,52.2,1019.2,79200,16740,20112
Namangan,2021,2662.0,990.0,50.0,1040.0,81200,14610,21923
Namangan,2022,2730.0,1013.0,48.5,1061.5,83200,13720,23726
Namangan,2023,2795.0,1035.0,46.8,1081.8,84900,13250,25801
Namangan,2024,2861.0,1057.0,44.7,1101.7,86800,12600,27858
Samarqand,2010,3121.4,1189.2,66.2,1255.4,88410,19441,18092
Samarqand,2011,3244.2,1217.8,62.4,1280.2,86635,20125,19308
Samarqand,2012,3292.4,1248.8,62.3,1311.1,87011,20498,20874
Samarqand,2013,3341.5,1280.3,63.7,1344.0,94152,20267,20918
Samarqand,2014,3390.8,1311.8,68.7,1380.5,99436,21076,22208
Samarqand,2015,3442.0,1343.0,69.0,1412.0,103000,21420,23776
Samarqand,2016,3495.0,1376.0,69.8,1445.8,106600,21640,25532
Samarqand,2017,3549.0,1410.0,70.4,1480.4,110600,21865,27549
Samarqand,2018,3636.0,1444.0,70.8,1514.8,113900,21980,29687
Samarqand,2019,3752.0,1479.0,71.1,1550.1,117000,22210,31913
Samarqand,2020,3851.0,1462.0,75.2,1537.2,119100,25840,33212
Samarqand,2021,3890.0,1496.0,72.0,1568.0,122100,22610,36223
Samarqand,2022,3990.0,1531.0,69.5,1600.5,125200,21220,39226
Samarqand,2023,4086.0,1565.0,67.8,1632.8,127600,20450,42601
Samarqand,2024,4183.0,1599.0,65.3,1664.3,130200,19400,46158
Sirdaryo,2010,698.4,256.2,14.4,270.6,18410,4041,4092
Sirdaryo,2011,725.2,262.1,13.7,275.8,18031,4181,4371
Sirdaryo,2012,736.4,268.8,13.5,282.3,18091,4267,4685
Sirdaryo,2013,747.5,275.3,13.9,289.2,19645,4231,4713
Sirdaryo,2014,758.8,281.8,15.1,296.9,20792,4394,5024
Sirdaryo,2015,771.0,288.0,15.2,303.2,21600,4459,5395
Sirdaryo,2016,784.0,295.0,15.8,310.8,22300,4498,5806
Sirdaryo,2017,798.0,302.0,16.4,318.4,23200,4540,6257
Sirdaryo,2018,817.0,310.0,16.8,326.8,23800,4562,6742
Sirdaryo,2019,844.0,317.0,17.1,334.1,24400,4578,7248
Sirdaryo,2020,866.0,313.0,18.2,331.2,24800,5330,7548
Sirdaryo,2021,875.0,320.0,17.3,337.3,25400,4640,8242
Sirdaryo,2022,897.0,327.0,16.7,343.7,26100,4352,8926
Sirdaryo,2023,919.0,335.0,16.2,351.2,26600,4200,9701
Sirdaryo,2024,942.0,343.0,15.7,358.7,27100,4000,10558
Surxondaryo,2010,2021.4,789.2,44.2,833.4,58410,12841,8092
Surxondaryo,2011,2101.2,807.8,41.9,849.7,57232,13225,8641
Surxondaryo,2012,2134.4,828.8,41.3,870.1,57411,13498,9274
Surxondaryo,2013,2167.5,849.3,42.7,892.0,62452,13267,9318
Surxondaryo,2014,2200.8,869.8,46.7,916.5,66136,13776,9908
Surxondaryo,2015,2236.0,890.0,47.0,937.0,68400,13920,10676
Surxondaryo,2016,2272.0,911.0,47.8,958.8,70800,14040,11532
Surxondaryo,2017,2310.0,933.0,48.4,981.4,73500,14165,12449
Surxondaryo,2018,2368.0,955.0,48.8,1003.8,75700,14180,13387
Surxondaryo,2019,2445.0,978.0,49.1,1027.1,77800,14310,14413
Surxondaryo,2020,2511.0,967.0,52.2,1019.2,79200,16740,15012
Surxondaryo,2021,2538.0,990.0,50.0,1040.0,81200,14610,16423
Surxondaryo,2022,2602.0,1013.0,48.5,1061.5,83200,13720,17826
Surxondaryo,2023,2665.0,1035.0,46.8,1081.8,84900,13250,19401
Surxondaryo,2024,2729.0,1057.0,44.7,1101.7,86800,12600,21158
Toshkent vil.,2010,2621.4,989.2,55.2,1044.4,68410,15041,22092
Toshkent vil.,2011,2725.2,1012.8,52.4,1065.2,67032,15625,23608
Toshkent vil.,2012,2768.4,1038.8,52.3,1091.1,67311,15998,25274
Toshkent vil.,2013,2811.5,1065.3,53.7,1119.0,73052,15867,25318
Toshkent vil.,2014,2854.8,1091.8,57.7,1149.5,77236,16476,27008
Toshkent vil.,2015,2901.0,1118.0,58.0,1176.0,79900,16720,28976
Toshkent vil.,2016,2948.0,1145.0,59.8,1204.8,82700,16940,31232
Toshkent vil.,2017,2997.0,1173.0,61.4,1234.4,85800,17165,33649
Toshkent vil.,2018,3072.0,1201.0,62.8,1263.8,88400,17280,36187
Toshkent vil.,2019,3170.0,1230.0,64.1,1294.1,91000,17510,38913
Toshkent vil.,2020,3254.0,1216.0,68.2,1284.2,92500,20440,40512
Toshkent vil.,2021,3287.0,1244.0,65.3,1309.3,94900,17710,44223
Toshkent vil.,2022,3370.0,1273.0,63.5,1336.5,97200,16620,47926
Toshkent vil.,2023,3451.0,1301.0,61.8,1362.8,99100,16050,52001
Toshkent vil.,2024,3534.0,1330.0,59.3,1389.3,101200,15300,56458
Toshkent sh.,2010,2189.4,1089.2,61.2,1150.4,54401,21199,83846
Toshkent sh.,2011,2312.4,1114.8,58.1,1172.9,53034,18892,95951
Toshkent sh.,2012,2389.4,1143.8,58.6,1202.4,54036,16471,105603
Toshkent sh.,2013,2456.5,1173.3,60.7,1234.0,58519,15616,117812
Toshkent sh.,2014,2529.8,1201.8,64.7,1266.5,63036,14761,99151
Toshkent sh.,2015,2612.0,1228.0,66.0,1294.0,65200,15200,108000
Toshkent sh.,2016,2698.0,1255.0,67.8,1322.8,67800,15400,118000
Toshkent sh.,2017,2789.0,1283.0,69.4,1352.4,71000,15650,128000
Toshkent sh.,2018,2912.0,1312.0,70.8,1382.8,73800,15800,138000
Toshkent sh.,2019,3098.0,1342.0,72.1,1414.1,76400,16100,148000
Toshkent sh.,2020,1750.5,1243.5,108.8,1352.3,54401,21199,83846
Toshkent sh.,2021,1877.5,1317.2,98.9,1416.1,63034,18892,95951
Toshkent sh.,2022,1945.6,1371.1,95.3,1466.4,74036,16471,105603
Toshkent sh.,2023,1991.2,1396.8,79.6,1476.4,75017,15616,117812
Toshkent sh.,2024,2068.5,1424.7,66.7,1491.4,68153,16720,99151
Farg'ona,2010,3021.4,1189.2,66.2,1255.4,78410,17241,15092
Farg'ona,2011,3143.2,1217.8,62.4,1280.2,76835,17825,16108
Farg'ona,2012,3189.4,1248.8,62.3,1311.1,77011,18149,17274
Farg'ona,2013,3235.5,1280.3,63.7,1344.0,83952,18067,17318
Farg'ona,2014,3281.8,1311.8,68.7,1380.5,88436,18976,18508
Farg'ona,2015,3330.0,1343.0,69.0,1412.0,91500,19200,19876
Farg'ona,2016,3379.0,1376.0,69.8,1445.8,94700,19400,21532
Farg'ona,2017,3430.0,1410.0,70.4,1480.4,98300,19650,23249
Farg'ona,2018,3514.0,1444.0,70.8,1514.8,101000,19800,25087
Farg'ona,2019,3627.0,1479.0,71.1,1550.1,104000,20100,26913
Farg'ona,2020,3724.0,1462.0,75.2,1537.2,106000,23400,28012
Farg'ona,2021,3762.0,1496.0,72.0,1568.0,109000,20400,30623
Farg'ona,2022,3859.0,1531.0,69.5,1600.5,112000,19200,33226
Farg'ona,2023,3951.0,1565.0,67.8,1632.8,114000,18500,36101
Farg'ona,2024,4044.0,1599.0,65.3,1664.3,116500,17700,39258
Xorazm,2010,1612.4,612.2,34.4,646.6,38410,8441,7092
Xorazm,2011,1676.2,626.8,32.6,659.4,37630,8725,7608
Xorazm,2012,1701.4,643.8,32.3,676.1,37911,8898,8174
Xorazm,2013,1726.5,660.3,33.7,694.0,41152,8867,8218
Xorazm,2014,1751.8,676.8,36.7,713.5,43436,9176,8808
Xorazm,2015,1779.0,693.0,37.0,730.0,44900,9320,9476
Xorazm,2016,1808.0,710.0,37.8,747.8,46500,9440,10232
Xorazm,2017,1838.0,728.0,38.4,766.4,48200,9565,11049
Xorazm,2018,1882.0,747.0,38.8,785.8,49600,9680,11907
Xorazm,2019,1941.0,765.0,39.1,804.1,51000,9810,12813
Xorazm,2020,1991.0,757.0,41.2,798.2,51900,11440,13212
Xorazm,2021,2012.0,775.0,39.3,814.3,53200,9910,14423
Xorazm,2022,2062.0,793.0,38.5,831.5,54500,9320,15626
Xorazm,2023,2112.0,811.0,37.2,848.2,55600,9050,16901
Xorazm,2024,2164.0,830.0,35.7,865.7,56700,8600,18358
Qoraqalpog'iston,2010,1712.4,612.2,34.4,646.6,48410,10641,8092
Qoraqalpog'iston,2011,1780.2,626.8,32.6,659.4,47432,11025,8641
Qoraqalpog'iston,2012,1807.4,643.8,32.3,676.1,47611,11298,9274
Qoraqalpog'iston,2013,1834.5,660.3,33.7,694.0,51552,11167,9318
Qoraqalpog'iston,2014,1861.8,676.8,36.7,713.5,54436,11676,9908
Qoraqalpog'iston,2015,1891.0,693.0,37.0,730.0,56300,11820,10676
Qoraqalpog'iston,2016,1921.0,710.0,37.8,747.8,58300,12040,11532
Qoraqalpog'iston,2017,1952.0,728.0,38.4,766.4,60500,12165,12449
Qoraqalpog'iston,2018,2000.0,747.0,38.8,785.8,62300,12180,13387
Qoraqalpog'iston,2019,2065.0,765.0,39.1,804.1,64200,12310,14413
Qoraqalpog'iston,2020,2120.0,757.0,41.2,798.2,65200,14340,15012
Qoraqalpog'iston,2021,2142.0,775.0,39.3,814.3,66900,12610,16423
Qoraqalpog'iston,2022,2197.0,793.0,38.5,831.5,68600,11820,17826
Qoraqalpog'iston,2023,2250.0,811.0,37.2,848.2,69900,11450,19401
Qoraqalpog'iston,2024,2305.0,830.0,35.7,865.7,71300,10900,21158
